followers,following,bio_length,posts,profile_picture,Private,uname_digits,uname_length,Fake
25,1937,0,0,yes,private,0,10,fake
324,4122,0,0,yes,public,4,15,fake
15,399,0,0,no,public,3,12,fake
14,107,0,1,yes,public,1,10,fake
264,4651,0,0,yes,public,0,14,fake
33,1470,0,2,yes,private,4,13,fake
420,4883,30,8,yes,public,0,12,fake
442,6662,0,396,yes,public,0,11,fake
816,7497,0,85,yes,public,3,15,fake
150,6631,1,0,yes,private,3,8,fake
235,7202,0,1,yes,private,2,14,fake
99,1358,0,1,yes,public,3,7,fake
59,6603,0,0,no,private,0,12,fake
4,179,0,1,yes,public,0,17,fake
39,1022,58,0,no,public,3,30,fake
8,23,0,0,no,public,0,10,fake
622,364,26,2,no,public,0,9,fake
37,207,0,0,no,public,0,15,fake
66,244,34,0,no,public,0,11,fake
32,4,0,1,yes,public,2,10,fake
27,354,0,0,yes,private,4,10,fake
47,106,0,0,no,public,3,11,fake
25,136,0,0,no,private,2,8,fake
5,243,0,1,no,private,0,12,fake
0,848,0,0,no,private,4,9,fake
232,6013,111,1,yes,public,1,20,fake
534,539,11,0,yes,public,0,11,fake
1,8,0,0,no,public,0,11,fake
0,126,0,0,yes,private,0,5,fake
5,77,0,0,yes,public,4,10,fake
0,6,0,0,no,private,7,11,fake
80,1844,16,1,yes,private,0,9,fake
87,851,53,0,yes,public,0,8,fake
29,1603,89,2,yes,public,0,11,fake
247,1749,0,3,yes,public,4,10,fake
290,2269,0,0,no,private,0,12,fake
12,2721,16,1,yes,private,0,13,fake
46,2521,0,0,no,public,2,12,fake
2,1973,13,0,no,private,1,11,fake
8,1359,0,0,yes,public,0,8,fake
36,2004,10,6,no,private,2,13,fake
37,1982,8,1,yes,public,3,9,fake
61,992,0,0,yes,public,4,10,fake
105,6802,17,0,yes,public,0,6,fake
607,7455,20,0,no,private,0,9,fake
14,1725,0,0,yes,private,4,9,fake
69,3577,0,1,no,public,1,9,fake
26,1919,0,0,no,public,0,12,fake
12,1710,0,1,yes,public,3,13,fake
12,1377,0,0,no,public,5,15,fake
51,3241,50,0,yes,private,2,13,fake
8,1709,0,0,yes,private,2,7,fake
514,1999,27,0,yes,public,0,6,fake
104,1423,53,0,no,public,0,13,fake
83,2012,0,0,yes,private,2,12,fake
69,1374,9,0,yes,private,1,7,fake
282,2517,0,5,yes,public,2,11,fake
49,2499,23,1,yes,public,4,17,fake
14,3359,0,0,yes,public,1,7,fake
49,2987,0,0,no,public,0,8,fake
20,3543,0,0,no,public,1,11,fake
63,2318,0,0,yes,public,4,9,fake
5,964,0,1,yes,public,0,9,fake
58,826,0,0,yes,public,4,12,fake
110,1612,0,0,no,private,4,12,fake
21,946,0,1,yes,public,1,10,fake
